activity_key,date,sport_type,distance_km,moving_time_min,elapsed_time_min,elevation_gain_m,avg_speed_kmh,max_speed_kmh,avg_cadence,calories,relative_effort,kudos,achievements,prs,trainer,gear_id,tags,year,month,weekday,hour,time_bucket,source_page
a0001,2019-08-17,Ride,31.121,36.47,54.65,6.1,51.2,82.8,,,,1,0,0,No,,,2019,2019-08,Saturday,12,Midday (11-14),Activity Log
a0002,2019-08-18,Run,5.098,42.78,42.78,0,7.15,42.48,,658,128,1,0,0,Yes,,,2019,2019-08,Sunday,9,Morning (7-11),Activity Log
a0003,2019-08-18,Run,5.106,42.55,42.55,0,7.2,42.84,,659,83,0,0,0,Yes,,,2019,2019-08,Sunday,21,Night (20-4),Activity Log
a0004,2019-08-19,Run,10.033,77.12,77.12,0,7.81,68.04,,1294,197,0,0,0,Yes,,,2019,2019-08,Monday,18,Evening (17-20),Activity Log
a0005,2019-08-20,Run,10.01,74.43,74.43,0,8.07,0,,1291,,0,0,0,No,,,2019,2019-08,Tuesday,18,Evening (17-20),Activity Log
a0006,2019-08-20,Run,10.009,75.08,75.08,0,8,38.52,,1291,270,0,0,0,Yes,,,2019,2019-08,Tuesday,19,Evening (17-20),Activity Log
a0007,2019-08-22,Run,10.036,71.63,71.63,0,8.41,41.76,,1295,96,0,0,0,Yes,,,2019,2019-08,Thursday,20,Night (20-4),Activity Log
a0008,2019-08-24,Run,10.01,86.75,86.75,0,6.92,0,,1291,,0,0,0,No,,,2019,2019-08,Saturday,8,Morning (7-11),Activity Log
a0009,2019-08-24,Run,10.011,98.32,98.32,0,6.11,44.64,,1292,125,0,0,0,Yes,,,2019,2019-08,Saturday,10,Morning (7-11),Activity Log
a0010,2019-08-25,Run,10.06,74.17,74.17,0,8.14,9.72,,1298,144,0,0,0,Yes,,,2019,2019-08,Sunday,9,Morning (7-11),Activity Log
a0011,2019-08-26,Run,10.04,75.87,75.87,0,7.94,0,,1295,,0,0,0,No,,,2019,2019-08,Monday,19,Evening (17-20),Activity Log
a0012,2019-09-14,Run,5.352,41.3,41.3,0,7.78,38.16,,690,86,0,0,0,Yes,,,2019,2019-09,Saturday,12,Midday (11-14),Activity Log
a0013,2019-09-14,Run,10.01,78.25,78.25,0,7.68,0,,1291,,0,0,0,No,,,2019,2019-09,Saturday,16,Afternoon (14-17),Activity Log
a0014,2019-09-14,Run,10.384,78.33,78.33,0,7.95,43.2,,1340,199,0,0,0,Yes,,,2019,2019-09,Saturday,17,Evening (17-20),Activity Log
a0015,2019-09-15,Run,4.694,37.47,37.47,0,7.52,40.68,,606,108,0,0,0,Yes,,,2019,2019-09,Sunday,9,Morning (7-11),Activity Log
a0016,2019-09-18,Run,10.4,81.58,81.58,0,7.65,0,,1342,,0,0,0,No,,Workout,2019,2019-09,Wednesday,18,Evening (17-20),Activity Log
a0017,2019-09-20,Run,2.876,24.28,24.28,0,7.11,37.44,,371,46,0,0,0,Yes,,,2019,2019-09,Friday,19,Evening (17-20),Activity Log
a0018,2019-09-21,Run,10,76.07,76.07,0,7.89,9.72,,1290,123,0,0,0,Yes,,LongRun,2019,2019-09,Saturday,7,Morning (7-11),Activity Log
a0019,2019-09-22,Run,10.02,77.12,77.12,0,7.8,0,,1293,,0,0,0,No,,,2019,2019-09,Sunday,7,Morning (7-11),Activity Log
a0020,2019-09-22,Run,10.143,77.17,77.17,0,7.89,36,,1309,141,0,0,0,Yes,,,2019,2019-09,Sunday,9,Morning (7-11),Activity Log
a0021,2019-10-12,Walk,4.03,59.5,66.13,20.2,4.06,6.84,,520,10,0,0,0,No,,,2019,2019-10,Saturday,20,Night (20-4),Activity Log
