activity_key,date,sport,country,region,has_gps,interior,source_page
a0001,2019-08-17,Ride,Tanzania,Manyara,1,1,Strava GPS + point-in-polygon (Natural Earth) / nearest TZ city
a0002,2019-08-18,Run,,,0,0,Strava GPS + point-in-polygon (Natural Earth) / nearest TZ city
a0003,2019-08-18,Run,,,0,0,Strava GPS + point-in-polygon (Natural Earth) / nearest TZ city
a0004,2019-08-19,Run,,,0,0,Strava GPS + point-in-polygon (Natural Earth) / nearest TZ city
a0005,2019-08-20,Run,,,0,0,Strava GPS + point-in-polygon (Natural Earth) / nearest TZ city
a0006,2019-08-20,Run,,,0,0,Strava GPS + point-in-polygon (Natural Earth) / nearest TZ city
a0007,2019-08-22,Run,,,0,0,Strava GPS + point-in-polygon (Natural Earth) / nearest TZ city
a0008,2019-08-24,Run,,,0,0,Strava GPS + point-in-polygon (Natural Earth) / nearest TZ city
a0009,2019-08-24,Run,,,0,0,Strava GPS + point-in-polygon (Natural Earth) / nearest TZ city
a0010,2019-08-25,Run,,,0,0,Strava GPS + point-in-polygon (Natural Earth) / nearest TZ city
a0011,2019-08-26,Run,,,0,0,Strava GPS + point-in-polygon (Natural Earth) / nearest TZ city
a0012,2019-09-14,Run,,,0,0,Strava GPS + point-in-polygon (Natural Earth) / nearest TZ city
a0013,2019-09-14,Run,,,0,0,Strava GPS + point-in-polygon (Natural Earth) / nearest TZ city
a0014,2019-09-14,Run,,,0,0,Strava GPS + point-in-polygon (Natural Earth) / nearest TZ city
a0015,2019-09-15,Run,,,0,0,Strava GPS + point-in-polygon (Natural Earth) / nearest TZ city
a0016,2019-09-18,Run,,,0,0,Strava GPS + point-in-polygon (Natural Earth) / nearest TZ city
a0017,2019-09-20,Run,,,0,0,Strava GPS + point-in-polygon (Natural Earth) / nearest TZ city
a0018,2019-09-21,Run,,,0,0,Strava GPS + point-in-polygon (Natural Earth) / nearest TZ city
a0019,2019-09-22,Run,,,0,0,Strava GPS + point-in-polygon (Natural Earth) / nearest TZ city
a0020,2019-09-22,Run,,,0,0,Strava GPS + point-in-polygon (Natural Earth) / nearest TZ city
a0021,2019-10-12,Walk,Tanzania,Dar es Salaam,1,1,Strava GPS + point-in-polygon (Natural Earth) / nearest TZ city
a0022,2019-10-13,Walk,Tanzania,Dar es Salaam,1,1,Strava GPS + point-in-polygon (Natural Earth) / nearest TZ city
a0023,2019-11-03,GravelRide,Tanzania,Arusha,1,1,Strava GPS + point-in-polygon (Natural Earth) / nearest TZ city
a0024,2019-12-01,Run,,,0,0,Strava GPS + point-in-polygon (Natural Earth) / nearest TZ city
a0025,2019-12-06,Run,,,0,0,Strava GPS + point-in-polygon (Natural Earth) / nearest TZ city
a0026,2019-12-09,Run,,,0,0,Strava GPS + point-in-polygon (Natural Earth) / nearest TZ city
a0027,2019-12-11,Run,,,0,0,Strava GPS + point-in-polygon (Natural Earth) / nearest TZ city
a0028,2020-01-11,Run,,,0,0,Strava GPS + point-in-polygon (Natural Earth) / nearest TZ city
a0029,2020-01-14,Ride,Tanzania,Arusha,1,1,Strava GPS + point-in-polygon (Natural Earth) / nearest TZ city
a0030,2020-03-22,Run,,,0,0,Strava GPS + point-in-polygon (Natural Earth) / nearest TZ city
a0031,2020-03-25,Run,,,0,0,Strava GPS + point-in-polygon (Natural Earth) / nearest TZ city
a0032,2020-03-28,Run,,,0,0,Strava GPS + point-in-polygon (Natural Earth) / nearest TZ city
a0033,2020-05-14,Walk,Tanzania,Dar es Salaam,1,0,Strava GPS + point-in-polygon (Natural Earth) / nearest TZ city
