date,sport,distance_km,elevation_m,pr_count,achievements,kudos,source_page
2026-08-26,Run,10.15,23,3,14,29,Personal Records
2026-08-21,GravelRide,9.02,75,4,13,21,Personal Records
2026-08-12,Walk,5.01,18,1,5,27,Personal Records
2026-08-03,Run,11.02,28,2,8,50,Personal Records
2026-07-21,Run,10.21,27,1,7,45,Personal Records
2026-07-19,Run,6.06,59,1,2,29,Personal Records
2026-05-24,Ride,3.19,18.1,3,3,30,Personal Records
2026-05-23,Walk,21.4,46,1,4,49,Personal Records
2026-05-22,Walk,10.05,27,3,17,45,Personal Records
2026-05-21,Walk,10.1,25,3,7,49,Personal Records
2026-05-20,Walk,10.08,20,2,8,40,Personal Records
2026-05-18,Walk,10.07,25,1,6,44,Personal Records
2026-05-16,Walk,10.06,34,2,12,39,Personal Records
2026-05-15,Ride,3.39,7,3,3,0,Personal Records
2026-05-09,Run,21.21,160,4,23,45,Personal Records
2026-04-26,Walk,15.16,37,1,6,35,Personal Records
2026-04-25,Walk,15.12,41,2,9,41,Personal Records
2026-04-24,Walk,6.02,16,1,4,32,Personal Records
2026-04-22,Walk,10.08,19,1,1,46,Personal Records
2026-04-19,Run,31.02,117,7,20,62,Personal Records
2026-04-16,Run,5.55,10,1,5,42,Personal Records
2026-04-15,Run,10.04,34,2,9,56,Personal Records
2026-04-09,Walk,6.06,13,2,2,45,Personal Records
2026-04-05,Run,10.55,24,2,3,52,Personal Records
2026-04-03,Run,10.34,26,2,10,46,Personal Records
2026-04-02,Run,10.16,22,9,17,48,Personal Records
2026-04-01,Run,10.11,20,3,11,45,Personal Records
2026-03-31,Walk,10.16,17,2,13,44,Personal Records
2026-03-22,Run,21.59,329,18,30,94,Personal Records
2026-03-13,Run,9.07,23,1,1,35,Personal Records
2026-03-12,Run,10.09,25,1,1,62,Personal Records
2026-03-10,Run,12.1,32,1,7,43,Personal Records
2026-03-09,Walk,13.05,30,2,6,35,Personal Records
2026-01-31,Run,11.7,9.4,4,7,29,Personal Records
2026-01-23,TrailRun,8,183,1,5,44,Personal Records
2026-01-18,TrailRun,6.03,122,2,11,45,Personal Records
2026-01-16,Run,3.06,46,1,1,44,Personal Records
2026-01-11,TrailRun,5.1,99,1,10,45,Personal Records
2025-10-26,Run,10.08,117.4,1,3,49,Personal Records
2025-10-23,Run,14.06,176.4,4,8,40,Personal Records
2025-10-07,Walk,10.21,43.9,1,13,49,Personal Records
2025-08-03,Walk,15.06,59.2,4,16,55,Personal Records
2025-07-12,Run,12.33,367.7,2,3,55,Personal Records
2025-04-21,GravelRide,64.01,1171.9,2,4,0,Personal Records
2025-02-23,Run,21.75,348.3,18,20,96,Personal Records
2025-02-22,Run,21.31,522.1,4,8,63,Personal Records
2025-02-20,Run,6.88,131.7,1,1,56,Personal Records
2025-02-19,Walk,30.03,833,2,15,51,Personal Records
2025-02-18,Run,12.18,161.5,4,7,48,Personal Records
2025-01-24,Run,5.9,178,1,5,50,Personal Records
2025-01-15,Run,12.01,179.7,1,2,50,Personal Records
2025-01-11,Run,27.19,475.8,3,22,68,Personal Records
2024-11-25,Ride,6.8,102.5,1,5,39,Personal Records
2024-10-09,Walk,5.05,27,1,8,26,Personal Records
2024-07-04,Walk,8.51,153.8,1,6,43,Personal Records
2024-05-04,GravelRide,87.39,1158.1,6,17,21,Personal Records
2024-04-27,GravelRide,31.69,248.1,5,8,14,Personal Records
2024-03-22,Walk,8.15,54.4,1,9,44,Personal Records
2024-02-25,Run,21.54,349,18,20,90,Personal Records
2024-02-23,TrailRun,7.54,48.1,2,4,44,Personal Records
2024-01-13,TrailRun,34.78,841.4,7,10,70,Personal Records
2024-01-07,TrailRun,10.32,126.9,1,5,58,Personal Records
2024-01-06,TrailRun,22.67,401.3,3,24,63,Personal Records
2023-08-26,Run,11.01,45.3,8,12,0,Personal Records
2023-08-26,Run,11.26,45.5,8,15,46,Personal Records
2023-08-20,TrailRun,18.17,1036.6,2,5,57,Personal Records
2023-08-19,TrailRun,18.75,1059.8,1,18,74,Personal Records
2023-08-13,Walk,10.02,20.2,3,6,24,Personal Records
2023-07-23,Run,10.3,82,3,12,62,Personal Records
2023-06-25,Run,10.23,48.5,2,4,61,Personal Records
2023-06-12,TrailRun,5.3,20.8,1,1,42,Personal Records
2023-06-09,Run,10.1,0,8,11,42,Personal Records
2023-06-04,Run,10.04,0,6,9,49,Personal Records
2023-06-03,Run,10.02,0,2,9,43,Personal Records
2023-05-31,Run,21.2,0,4,18,47,Personal Records
2023-05-23,Run,10.05,0,4,12,45,Personal Records
2023-04-22,Walk,10.34,66.2,1,4,45,Personal Records
2023-04-10,Run,8.09,51.7,1,5,55,Personal Records
2023-03-04,TrailRun,25.68,435.8,9,24,76,Personal Records
2023-02-26,Run,21.33,345.4,18,19,125,Personal Records
2023-02-25,Run,5.25,9.1,2,6,40,Personal Records
2023-02-19,TrailRun,10.75,1194.9,1,5,68,Personal Records
2023-01-22,TrailRun,22.71,1327.6,5,13,85,Personal Records
2023-01-21,TrailRun,16.07,920,3,13,81,Personal Records
2023-01-09,Walk,5.09,28.6,1,1,44,Personal Records
2023-01-08,Walk,8.7,53.2,3,18,46,Personal Records
2022-12-15,Walk,5.64,30.5,1,2,41,Personal Records
2022-12-06,Walk,6.31,31.6,1,1,40,Personal Records
2022-11-28,Run,6.62,36.2,1,2,52,Personal Records
2022-11-27,Run,10.46,64.1,3,7,37,Personal Records
2022-11-26,Run,8.84,53.2,2,6,36,Personal Records
2022-11-25,Run,8.11,52.1,1,2,35,Personal Records
2022-11-24,Run,5.71,30.8,1,1,33,Personal Records
2022-11-23,Walk,5.7,30.6,1,3,36,Personal Records
2022-11-22,Walk,8.1,54.2,1,6,34,Personal Records
2022-11-19,Run,6.94,36.2,3,6,37,Personal Records
2022-11-18,Walk,6.94,38.5,1,3,27,Personal Records
2022-11-13,Run,5.14,35.4,1,4,34,Personal Records
2022-11-12,Run,8.1,31.1,3,9,35,Personal Records
2022-11-11,Run,6.78,25.8,2,8,40,Personal Records
2022-11-05,Run,11.29,77.1,1,5,45,Personal Records
2022-11-04,Walk,6.71,36.2,1,1,33,Personal Records
2022-11-02,Run,7.72,42.6,1,4,28,Personal Records
2022-11-02,Walk,4.29,14.4,1,3,20,Personal Records
