rank,distance_km,date,sport,elevation_m,kudos,prs,source_page
1,121.344,2020-07-07 15:18:19,Ride,1022.5,5,0,Personal Records
2,119.071,2020-07-07 08:33:01,Ride,1439.9,3,0,Personal Records
3,108.464,2020-07-08 09:06:01,Ride,1000.5,4,0,Personal Records
4,100.757,2025-04-20 08:29:27,GravelRide,594.9,0,0,Personal Records
5,91.599,2024-06-16 20:21:28,EBikeRide,676.7,32,0,Personal Records
6,88.767,2020-01-14 15:53:33,Ride,958.6,0,0,Personal Records
7,87.392,2024-05-04 08:13:46,GravelRide,1158.1,21,6,Personal Records
8,80.237,2023-10-11 09:33:07,Sail,7.4,37,0,Personal Records
9,80.178,2025-02-02 12:40:54,Sail,12.4,0,0,Personal Records
10,79.71,2023-10-14 09:31:47,Sail,9.5,31,0,Personal Records
