brand,model,type,retired,strava_total_km,distance_in_log_km,gear_id,source_page
Nike,Lunarglide 6,Shoe,Yes,2495.3,24.8,9624843,Gear
Nike,Lunarglide 7,Shoe,Yes,1956.4,1777.7,9624836,Gear
Nike,Air Zoom Pegasus 37,Shoe,Yes,1204.4,1204.4,9133832,Gear
Under Armour,Charged Impulse,Shoe,Yes,1027.1,1027.1,21909132,Gear
Nike,Zegama Trail,Shoe,Yes,925.4,697.3,15459065,Gear
Saucony,Everun XT 900,Shoe,Yes,587.6,587.6,26628034,Gear
Nike,Lunarglide 5,Shoe,Yes,566.8,139.6,13383023,Gear
Nike,Zoom Winflo 5,Shoe,No,520.1,520.1,29090063,Gear
Nike,Comfort Footbed,Shoe,No,360.4,360.4,29089938,Gear
Nike,Juniper Trail,Shoe,No,168,168,29090001,Gear
Nike,Pegasus Trail (ZoomX),Shoe,Yes,126.8,126.8,14532663,Gear
