date,name,sport,distance_km,elevation_m,pr_count,achievements,kudos,source_page
2026-08-21,Bongo Flava @30 x Dane Vineyard Tour,GravelRide,9.02,75,4,13,21,Personal Records
2026-08-12,Evening Walk x 7th Stravaversary 🎈,Walk,5.01,18,1,5,27,Personal Records
2026-08-03,Morning Run x Ras Kilomoni XLVI,Run,11.02,28,2,8,50,Personal Records
2026-07-21,Morning Run x Ras Kilomoni XLI,Run,10.21,27,1,7,45,Personal Records
2026-07-19,Evening Run,Run,6.06,59,1,2,29,Personal Records
2026-05-24,Evening Ride,Ride,3.19,18.1,3,3,30,Personal Records
2026-05-23,Morning Walk x Long Stretch,Walk,21.4,46,1,4,49,Personal Records
2026-05-22,Morning Walk,Walk,10.05,27,3,17,45,Personal Records
2026-05-21,Morning Walk x Ras Kilomoni XVII,Walk,10.1,25,3,7,49,Personal Records
2026-05-20,Morning Walk x Ras Kilomoni XVI,Walk,10.08,20,2,8,40,Personal Records
2026-05-18,Morning Walk x Ras Kilomoni XIV,Walk,10.07,25,1,6,44,Personal Records
2026-05-16,Morning Walk x Ras Kilomoni XIII,Walk,10.06,34,2,12,39,Personal Records
2026-05-15,Night Ride,Ride,3.39,7,3,3,0,Personal Records
2026-05-09,RBC Brooklyn Half x Nakie Bonding VIII,Run,21.21,160,4,23,45,Personal Records
2026-04-26,The Best x Rain Dance 🌧️,Walk,15.16,37,1,6,35,Personal Records
2026-04-25,Morning Walk,Walk,15.12,41,2,9,41,Personal Records
2026-04-24,Morning Walk x Chase 300,Walk,6.02,16,1,4,32,Personal Records
2026-04-22,Morning Walk x Ras Kilomoni XII,Walk,10.08,19,1,1,46,Personal Records
2026-04-19,Morning Run x Long Stretch,Run,31.02,117,7,20,62,Personal Records
2026-04-16,Evening Refreshments,Run,5.55,10,1,5,42,Personal Records
2026-04-15,Pope's Africa Marathon x Ras Kilomoni IX,Run,10.04,34,2,9,56,Personal Records
2026-04-09,"Morning Walk x Artemis II ""Fly-by"" 🚀",Walk,6.06,13,2,2,45,Personal Records
2026-04-05,Pugu Recovery x Ras Kilomoni VIII,Run,10.55,24,2,3,52,Personal Records
2026-04-03,"Morning Run x Artemis II ""Mission""",Run,10.34,26,2,10,46,Personal Records
2026-04-02,"Morning Run x Artemis II ""Crew""",Run,10.16,22,9,17,48,Personal Records
2026-04-01,Morning Run x Ras Kilomoni VII,Run,10.11,20,3,11,45,Personal Records
2026-03-31,Morning Walk x Ras Kilomoni VI,Walk,10.16,17,2,13,44,Personal Records
2026-03-22,Kili Half Marathon 2026,Run,21.59,329,18,30,94,Personal Records
2026-03-13,Ras Kilomoni IV x Kili Preps T-9️⃣,Run,9.07,23,1,1,35,Personal Records
2026-03-12,Ras Kilomoni III x Kili Preps T-🔟,Run,10.09,25,1,1,62,Personal Records
2026-03-10,Ras Kilomoni II x Kili Preps T-1️⃣2️⃣,Run,12.1,32,1,7,43,Personal Records
2026-03-09,Ras Kilomoni I x Kili Preps T-1️⃣3️⃣,Walk,13.05,30,2,6,35,Personal Records
2026-01-31,Morning Ride,Run,11.7,9.4,4,7,29,Personal Records
