year,sport,distance_km,source_page
2019,Walk,13.4,Yearly Trends
2019,Run,218,Yearly Trends
2019,GravelRide,42.4,Yearly Trends
2019,Ride,31.1,Yearly Trends
2020,Walk,9.2,Yearly Trends
2020,Run,181.9,Yearly Trends
2020,Ride,512.9,Yearly Trends
2021,Walk,472.9,Yearly Trends
2021,Run,2401.9,Yearly Trends
2021,TrailRun,10.5,Yearly Trends
2021,Ride,45.6,Yearly Trends
2022,Walk,707,Yearly Trends
2022,Run,2130.2,Yearly Trends
2022,TrailRun,56.3,Yearly Trends
2022,GravelRide,132.9,Yearly Trends
2023,Walk,495.5,Yearly Trends
2023,Run,925.6,Yearly Trends
2023,TrailRun,302.8,Yearly Trends
2023,GravelRide,315.7,Yearly Trends
2023,Ride,24.7,Yearly Trends
2024,Walk,493.5,Yearly Trends
2024,Run,575.8,Yearly Trends
2024,TrailRun,138.5,Yearly Trends
2024,GravelRide,638.1,Yearly Trends
2024,Ride,160.5,Yearly Trends
2025,Walk,703.6,Yearly Trends
2025,Run,790.1,Yearly Trends
2025,TrailRun,69.2,Yearly Trends
2025,GravelRide,322.7,Yearly Trends
2025,Ride,5.8,Yearly Trends
2026,Walk,937.1,Yearly Trends
2026,Run,870,Yearly Trends
2026,TrailRun,254.9,Yearly Trends
2026,GravelRide,9,Yearly Trends
2026,Ride,6.6,Yearly Trends
